abandoned industrial site	Site that cannot be used for any purpose, being contaminated by pollutants.
ecological balance	The condition of equilibrium among the components of a natural community such that their relative numbers remain fairly constant and their ecosystem is stable. Gradual readjustments to the composition of a balanced community take place continually in response to natural ecological succession and to alterations in climatic and other influences.
ecological niche	The space occupied by a species, which includes both the physical space as well as the functional role of the species.
ecology	The study of the interrelationships between living organisms and their environment.
trophic ecology	The study of the feeding relationships of organisms in communities and ecosystems. Trophic links between populations represent flows of organisms, organic energy and nutrients. Trophic transfers are important in population dynamics, biogeochemistry, and ecosystem energetics.
economic analysis	The quantitative and qualitative identification, study, and evaluation of the nature of an economy or a system of organization or operation.
economic development	The state of nations and the historical processes of change experienced by them, the extent to which the resources of a nation are brought into productive use.
economic growth	An increase over successive periods in the productivity and wealth of a household, country or region, as measured by one of several possible variables, such as the gross domestic product.
economic instrument	Any tool or method used by an organization to achieve general developmental goals in the production of, or in the regulation of, material resources.
economic policy	A definite course of action adopted and pursued by a government, political party or enterprise pertaining to the production, distribution and use of income, wealth and commodities.
economics	The social study of the production, distribution, and consumption of wealth.
economic system	Organized sets of procedures used within or between communities to govern the production and distribution of goods and services.
economic theory	The study of relationships in the economy.
economic viability	Capability of developing and surviving as a relatively independent social, economic or political unit.
economic zoning	A land-use planning design or control where specific types of businesses or private sector investment are encouraged within designated boundaries.
economy	The system of activities and administration through which a society uses its resources to produce wealth.
ecophysiology	The study of biophysical, biochemical and physiological processes used by animals to cope with factors of their physical environment, or employed during ecological interactions with other organisms.
ecosystem	A community of organisms and their physical environment interacting as an ecological unit.
ecotourism	Excursions to relatively untouched lands, which for the tourist promise the chance to observe unusual wildlife and indigenous inhabitants.
ecotoxicity	Quality of some substances or preparations which present or may present immediate or delayed risks for one or more sectors of the environment.
ecotoxicology	The science dealing with the adverse effects of chemical, physical agents, and natural products on populations and communities of plants, animals and human beings.
ecotype	Species that has special characteristics which allow it to live in a certain habitat.
edaphology	The study of the relationships between soil and organisms, including the use made of land by mankind.
edible fat	A blend of a partially hydrogenated vegetable fat and natural butterfat.
education	The act or process of imparting or acquiring knowledge or skills.
educational institution	An organization or establishment devoted to the act or process of imparting or acquiring knowledge or skills.
educational planning	The process of making arrangements or preparations to facilitate the training, instruction or study that leads to the acquisition of skills or knowledge, or the development of reasoning and judgment.
education policy	A course of action adopted and pursued by government or some other organization, which promotes or determines the goals, methods and programs to be used for training, instruction or study that leads to the acquisition of skills or knowledge, or the development of reasoning and judgment.
educational system	Any formulated, regular or special organization of instruction, training or knowledge disclosure, especially the institutional structures supporting that endeavor.
effect	The result or outcome of a cause. Effects include: a) direct effects, which are caused by the action and occur at the same time and place, b) indirect effects, which are caused by the action and are later in time or farther removed in distance, that are still reasonably foreseeable.
efficiency criterion	Parameter or rule for assessing the competency in performance of production relative to the input of resources.
efficiency level	The ratio of output to input, usually given as a percentage.
effluent	Liquid waste or sewage discharged into a river or the sea.
egg	An approximately spherical or ellipsoidal body produced by birds, snakes, insects and other animals housing the embryo during its development.
elasticity	Ability of a material to return to original dimensions after deformation.
electrical engineering	Engineering that deals with practical applications of electricity.
electrical industry	The generation, transmission, distribution and sale of electric power to the general public.
electricity	A general term used for all phenomena caused by electric charge whether static or in motion.
electricity consumption	Amount of electricity consumed by an apparatus.
electricity generation	The act or process of transforming other forms of energy into electric energy.
electric line	Wires conducting electric power from one location to another.
electric power	The rate at which electric energy is consumed or delivered by an electric device or system, equal to the product of the current and the voltage drop.
electric power plant	A stationary plant containing apparatus for large-scale conversion of some form of energy (such as hydraulic, steam, chemical, or nuclear energy) into electrical energy.
electric vehicle	Vehicle driven by an electric motor and characterized by being silent and less polluting.
electrokinetics	The study of the motion of electric charges, especially of steady currents in electric circuits, and of the motion of electrified particles in electric or magnetic fields.
electrolysis	The production of a chemical reaction by passing an electric current through an electrolyte. In electrolysis, positive ions migrate to the cathode and negative ions to the anode.
electronics	Study, control, and application of the conduction of electricity through gases or vacuum or through semiconducting or conducting materials.
electronic scrap	Any material from electronic devices and systems, generated as a waste stream in a processing operation or discarded after service.
electrosmog	Pollution caused by electric and magnetic fields generated by power lines, electrical equipment, mobile and cordless phones, radar, electrical household appliances, microwave ovens, radios, computers, electric clocks, etc.
chemical element	A substance made up of atoms with the same atomic number; common examples are hydrogen, gold, and iron.
emancipation	The state of being free from social or political restraint or from the inhibition of moral or social conventions.
embryo	An early stage of development in multicellular organisms.
embryogenesis	The formation and development of an embryo from an egg.
emergency relief	Money, food or other assistance provided for those surviving a sudden and usually unexpected occurrence requiring immediate action, especially an incident of potential harm to human life, property or the environment.
emergency shelter	Shelter given to persons who are deprived of the essential necessities of life after a disaster.
emission	A discharge of particulate gaseous, or soluble waste material/pollution into the air from a polluting source.
emission factor	The relationship between the amount of pollutants produced to the amount of raw materials processed, or fuel consumed, in any polluting process.
emission forecast	The final step in a clean air plan is to predict future air quality to demonstrate that we can (if we can) meet the health standards by implementing the measures proposed in the plan. This is done by first projecting the emission inventory into the future, taking into account changes in population, housing, employment in specific business sectors, and vehicle miles traveled. These data are obtained from various sources and the resulting emissions are adjusted to account for regulations and control measures scheduled for implementation during the same time period. Additional adjustments are made to reflect large facilities that are expected to start up, modify, or shut down. The resulting inventory is an emission forecast, and is usually expressed in tons per day of particular pollutants for a given year. Additional steps may be required to determine how the forecasted quantities of air pollution will affect the overall air quality. One way to accomplish this is through computer modeling. A computer model simulates how pollutants disperse, react, and move in the air. The inputs to such a computer model are complex. They include weather patterns, terrain, and the chemical nature of air pollutants.
emission situation	The overall state regarding pollutant emission in a given area.
emission standard	The maximum amount of discharge legally allowed from a single source, mobile or stationary.
employment	Productive activity, service, trade, or craft for which one is regularly paid.
emulsification	The process of dispersing one liquid in a second immiscible liquid.
emulsion	A stable dispersion of one liquid in a second immiscible liquid, such as milk (oil dispersed in water).
endocrine system	The chemical coordinating system in animals, that is, the endocrine glands that produce hormones.
endocrinology	The study of the endocrine glands and the hormones that they synthesize and secrete.
energy	The capacity to do work; involving thermal energy (heat), radiant energy (light), kinetic energy (motion) or chemical energy; measured in joules.
energy balance	The energetic state of a system at any given time.
energy conservation	The reduction of energy consumption through efficient energy use.
energy consumption	Amount of energy consumed by a person or an apparatus.
energy conversion	The process of changing energy from one form to another.
energy demand	Amount of energy needed by a person or an apparatus.
energy economics	The production, distribution, and consumption of usable power such as fossil fuel, electricity, or solar radiation.
energy management	The administration or handling of power derived from sources such as fossil fuel, electricity and solar radiation.
energy market	The trade or traffic of energy sources treated as a commodity (such as fossil fuel, electricity, or solar radiation).
energy policy	A statement of a country's intentions in the energy sector.
energy production	Generation of energy in a coal fired power station, in an oil fired power station, in a nuclear power station, etc.
energy recovery	A form of resource recovery in which the organic fraction of waste is converted to some form of usable energy. Recovery may be achieved through the combustion of processed or raw refuse to produce steam through the pyrolysis of refuse to produce oil or gas; and through the anaerobic digestion of organic wastes to produce methane gas.
energy resource	Potential supplies of energy which have not yet been used (such as coal lying in the ground, solar heat, wind power, geothermal power, etc.).
energy saving	A set of strategies for avoiding wasting energy.
energy source	Potential supplies of energy including fossil and nuclear fuels as well as solar, water, wind, tidal and geothermal power.
energy technology	Technology used to produce energy.
enforcement	The execution, carrying out or putting into effect an order, regulation, law or official decree.
enriched uranium	Uranium whose concentration of uranium-235, which is able to sustain a nuclear chain reaction, is increased by removing uranium-238.
enrichment	The process of increasing the abundance of a specified isotope in a mixture of isotopes. It is usually applied to an increase in the proportion of U-235, or the addition of Pu-239 to natural uranium for use in a nuclear reactor or weapon.
environmental auditing	An assessment of the nature and extent of any harm or detriment, or any possible harm or detriment, that may be inflicted on any aspect of the environment by any activity process, development programme, or any product, chemical, or waste substance. Audits may be designed to: verify or otherwise comply with environmental requirements; evaluate the effectiveness of existing environmental management systems; assess risks generally; or assist in planning for future improvements in environment protection and pollution control
environmental awareness	The growth and development of awareness, understanding and consciousness toward the biophysical environment and its problems, including human interactions and effects.
environmental chemistry	Science dealing with the physical, chemical and biochemical processes that polluting substances undergo when introduced in the environment.
environmental cost	Expenses incurred as a result of some violation of ecological integrity either by an enterprise that implements a program to rectify the situation, or by society or the ecosystem as a whole when no person or enterprise is held liable.
environmental crime	An unlawful act against the environment, such as water contamination, hazardous waste disposal, air contamination, unpermitted installation of plants, oil spills, etc.
environmental criminal law	The aggregate of statutory enactments pertaining to actions or instances of ecological negligence deemed injurious to public welfare or government interests and legally prohibited.
environmental damage	Harm done to the environment, e.g. loss of wetlands, pollution of rivers, etc.
environmental economics	A subfield of economics concerned with environmental issues.
environmental education	The educational process that deals with the human interrelationships with the environment and that utilizes an interdisciplinary problem-solving approach with value clarification. Concerned with education progress of knowledge, understanding, attitudes, skills, and commitment for environmental problems and considerations. The need for environmental education is continuous, because each new generation needs to learn conservation for itself.
environmental ethics	An ecological conscience or moral that reflects a commitment and responsibility toward the environment, including plants and animals as well as present and future generations of people. Oriented toward human societies living in harmony with the natural world on which they depend for survival and well being.
environmental history	A systematic and chronological account of past events and conditions relating to the ecosystem, its natural resources or, more generally, the external factors surrounding and affecting human life.
environmental impact	Any alteration of environmental conditions or creation of a new set of environmental conditions, adverse or beneficial, caused or induced by the action or set of actions under consideration.
environmental indicator	A measurement, statistic or value that provides a proximate gauge or evidence of the effects of environmental management programs or of the state or condition of the environment.
environmental informatics	Science and techniques of data elaboration and of computer processing of information concerning ecosystems and ecology.
environmental investment	Securities held for the production of income in the form of interest and dividends with the aim of benefitting the environment.
environmental legislation	Branch of law relating to pollution control; national parks, wildlife, fauna and flora, wilderness and biodiversity; environmental and occupational health; environmental planning; heritage conservation and a large number of international conventions relating to the environment.
environmental legislation on agriculture	A binding rule or body of rules prescribed by a government to regulate any aspect of farm and livestock production that poses a threat to ecological integrity and human health, especially the use of pesticides, fertilizers and land.
environmental liability	The penalty to be paid by an organization for the damage caused by pollution and restoration necessary as a result of that damage, whether by accidental spillages from tankers, industrial waste discharges into waterways or land, or deliberate or accidental release of radioactive materials.
environmentally unfriendly firm	Firm that dores not comply with environmental regulations for the disposal of noxious wastes generated during the production cycle.
environmental medicine	The art and science of the protection of good health, the promotion of aesthetic values, the prevention of disease and injury through the control of positive environmental factors, and the reduction of potential physical, biological, chemical, and radiological hazards.
environmental policy	Official statements of principles, intentions, values, and objective which are based on legislation and the governing authority of a state and which serve as a guide for the operations of governmental and private activities in environmental affairs.
environmental pollution	The introduction by man into the environment of substances or energy liable to cause hazards to human health, harm to living resources and ecological systems, damage to structure or amenity, or interference with legitimate uses of the environment.
environmental protection	Measures and controls to prevent damage and degradation of the environment, including the sustainability of its living resources.
environmental protection cost	The amount of money incurred in the preservation, defense, or shelter of natural resources.
environmental psychology	A branch of experimental psychology which studies the relationships between behavior and the environmental context in which it occurs.
environmental quality	Properties and characteristics of the environment, either generalized or local, as they impinge on human beings and other organisms. Environmental quality is a general term which can refer to: varied characteristics such as air and water purity or pollution, noise, access to open space, and the visual effects of buildings, and the potential effects which such characteristics may have on physical and mental health.
environmental report	An account or statement, usually in writing, describing in detail events, situations or conditions pertaining to the ecosystem, its natural resources or any of the external factors surrounding and affecting human life.
environmental research	The study of the environment and its modifications caused by human activities.
environmental risk assessment	Qualitative and quantitative evaluation of the risk posed to the environment by the actual or potential presence and/or use of specific pollutants.
environmental science	The interdisciplinary study of environmental problems, within the framework of established physical and biological principles, i.e. oriented toward a scientific approach.
environmental security	Measures taken or policies instituted to protect and promote the safety of external conditions affecting the life, development and survival of an organism.
environmental specimen bank	Places in which selected specimens (fish, mussels, milk, soil sample and human tissue, etc.) are stored without being allowed to decompose.
environmental subsidy	Payment by a government to assist or improve performance regarding ecological maintenance or the protection, defense, or shelter of natural resources.
environmental terminology	The vocabulary of technical terms and usage appropriate to community, corporate, governmental and other groups concerned with protecting natural resources, preserving the integrity of the ecosystem and safeguarding human health.
environmental vandalism	The egregious or blatant destruction of delicate ecosystems, especially in violation of environmental protection laws.
environmental warfare	The direct manipulation or destruction of ecological resources as either a political threat or for actual military advantage.
environment	The set of all natural systems, including the air, land, water, and living things other than humans.
enzyme	Any of a group of catalytic proteins that are produced by living cells and that mediate and promote the chemical processes of life without themselves being altered or destroyed.
epidemic	A sudden increase in the incidence rate of a disease to a value above normal, affecting large numbers of people and spread over a wide area.
epidemiology	The study of the occurrence and distribution of disease and injury specified by person, place, and time.
equine	An animal belonging to the family of Equidae.
equipment	Any collection of materials, supplies, instrumentality or apparatuses stored, furnished or provided for an undertaking, service or activity.
equivalent dose	A quantity used in radiation protection, expressing all radiation on a common scale for calculating the effective absorbed dose.
ergonomics	The study of human capability and psychology in relation to the working environment and the equipment operated by the worker.
erosion	The general process or the group of processes whereby the materials of Earth's crust are loosened, dissolved, or worn away and simultaneously moved from one place to another, by natural agencies, which include weathering, solution, corrosion, and transportation, but usually exclude mass wasting.
erosion control	Practices used during construction or other land disturbing activities to reduce or prevent soil erosion.
estuarine biology	The scientific study of the characteristic life processes of living organisms found in a semi-enclosed coastal body of water which has a free connection with the open sea and within which sea water is measurably diluted with freshwater.
estuarine oceanography	The study of the physical, chemical, biological and geological characteristics of a semi-enclosed coastal body of water which has a free connection with the open sea and within which sea water is measurably diluted with fresh water.
estuary	A river mouth or stream mouth is a part of a river where it flows into the sea, river, lake, reservoir or ocean.
etching substance	Substance capable of wearing away the surface of a metal, glass, etc. by chemical action.
ether	A colorless liquid, slightly soluble in water; used as a reagent, intermediate, anesthetic, and solvent.
ethics	The philosophical study of the moral value of human conduct and of the rules and principles that ought to govern it.
ethnology	The science that deals with the study of the origin, distribution, and relations of races or ethnic groups of mankind.
ethology	The study of animal behaviour in a natural context.
EU Council	The Council of the European Union is an institution which exercises legislative and decision-making powers. At the same time, it is the forum in which the representatives of the Governments of the 15 Member States can assert their interests and try to reach compromises. The Council ensures general coordination of the activities of the European Community, the main objective of which is the establishment of an internal market, i.e. an area without internal frontiers guaranteeing four freedoms of movement - for goods, persons, services and capital - to which should soon be added a single currency. In addition, the Council is responsible for intergovernmental cooperation, in common foreign and security policy (CFSP) and in the areas of justice and home affairs (JHA), including for example matters of immigration and asylum, combating terrorism and drugs and judicial cooperation.
Euratom	A precursor to the European Community, the European Atomic Energy Community was founded in 1958 by the European Common Market to conduct research, develop nuclear energy, create a common market for nuclear fuels and supervise the nuclear industry so as to prevent abuse and protect health.
Europe	The second smallest continent, forming the Western extension of Eurasia: the border with Asia runs from the Urals to the Caspian and the Black Sea.
European Commission	The European Union's administrative body, composed of twenty independent members appointed by the Member States for five-year terms and vested with powers of initiative, implementation, management and control according to the mandates established in EU Treaties or handed down by the EU Council.
European Court of Justice	The supreme court of The European Union which oversees the application of the
European Environment Agency	The EEA is being set up to provide the European Community and its member states with objective, reliable and standardized information on the environment. It will assess the success of existing environmental policies and the data will be used to develop new policies for environmental protection measures. It will gather information covering the present, and foreseeable, state of the environment. The priority area are: air quality and emissions; water quality, pollutants and resources; soil quality, flora and fauna, and biotopes; land use and natural resources; waste management; noise pollution; chemicals; and protection of coastal areas. The Agency will also take into account the socio-economics dimension, cover transboundary and international matters, and avoid the duplication of the activities of other bodies.
European Environmental Council	Council of European Union environment ministers that aims to preserve the quality of the environment, human health, the prudent and rational utilisation of natural resources and to promote measures at international level to deal with regional or worldwide environmental problems.
European Parliament	Formerly the \
European Union	The 27 nations (Austria, Belgium, Bulgaria, Cyprus, Czechia, Denmark, Estiona, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Luxembourg, Malta, the Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden and the UK) that have joined together to form an economic community with common monetary, political and social aspirations.
eutrophication	A process of pollution that occurs when a lake or stream becomes over-rich in plant nutrient and as a consequence becomes overgrown in algae and other aquatic plants.
evaluation	An assessment or a summary of a particular situation.
evaporation	Conversion from a liquid or solid state to a vapour.
evapotranspiration	Discharge of water from the earth's surface to the atmosphere by evaporation from lakes, streams and soil surfaces and by transpiration from plants.
evolution	The biological theory or process whereby species of plants and animals change with the passage of time so that their descendants differ from their ancestors, i.e. development from earlier forms by hereditary transmission of slight variations in successive generations.
exact science	Mathematics and other sciences based on calculation.
excavated hole	A pit, cavity, or other uncovered cutting produced by excavation.
executive order	An order or regulation issued by the president or some administrative authority under his direction for the purpose of interpreting, implementing or giving administrative effect to a provision of the constitution or of some law or treaty.
exhaust device	A duct or pipe through which waste material is emitted; a combination of components which provides for enclosed flow of exhaust gas from engine parts to the atmosphere.
exhaust gas	Offgas produced during combustion processes discharged directly or ultimately to the atmosphere.
exotic species	Plants, animals or microorganisms which are introduced by humans into areas where they are not native. Exotics are often associated with negative ecological consequences for native species and the ecosystems.
expenditure	Spending by consumers, investors, or government for goods or services.
experiment	A test under controlled conditions that is made to demonstrate a known truth, examine the validity of a hypothesis, or determine the efficacy of something previously untried.
expert system	A computer configuration of hardware and software that simulates the judgment and behavior of a human or an organization with extensive knowledge in a particular field, often by giving answers, solutions or diagnoses.
exploration	A careful systematic search.
explosion	A violent, sudden release of energy resulting from powders or gases undergoing instantaneous ignition or from some other means of detonation, often accompanied by a force producing great amounts of heat, major structural damages, shock waves and flying shrapnel.
explosive	A substance, such as trinitrotoluene, or a mixture, such as gunpowder, that is characterized by chemical stability but may be made to undergo rapid chemical change without an outside source of oxygen, whereupon it produces a large quantity of energy generally accompanied by the evolution of hot gases.
export	To send, take or carry an article of trade or commerce out of the country.
exposure	The time for which a material is illuminated or irradiated.
expropriation	The act of depriving an owner of private property for public use.
extensive cattle farming	Farming system practiced in very large farms, characterized by low levels of inputs per unit area of land; in such situations the stocking rate, the number of livestock units per area, is low.
externality	Discrepancies between private costs and social costs or private advantages and social advantages; the basic concept of externality is interdependence without compensation.
extraction	Any process by which a pure metal is obtained from its ore.
extractive industry	Primary activities involved in the extraction of non-renewable resources.
fabric	Any cloth made from yarn or fibres by weaving, knitting, felting, etc.
factor market	A market where services of the factors of production (not the actual factors of production) are bought and sold.
fallout	The descent of airborne solid or liquid particles to the ground, which occurs when the speed at which they fall due to gravity exceeds that of any upward motion of the air surrounding them.
fallow area	Land area normally used for crop production but left unsown for one or more growing seasons.
fallow land	Arable land not under rotation that is set at rest for a period of time ranging from one to five years before it is cultivated again, or land usually under permanent crops, meadows or pastures, which is not being used for that purpose for a period of at least one year. Arable land which is normally used for the cultivation of temporary crops but which is temporarily used for grazing is included.
family	A group comprising parents, offsprings and others closely related or associated with them.
family planning	The control of the number of children in a family and of the intervals between them, especially by the use of contraceptives.
famine	A severe shortage of food, as through crop failure or over population. It may be due to poor harvests following drought, floods, earthquake, war, social conflict, etc.
farm animal	Animals reared in farms for working and producing food such as meat, eggs and milk.
farm	Any tract of land or building used for agricultural purposes, such as for raising crops and livestock.
fauna	The entire animal life of a given region, habitat or geological stratum.
federal government	A system in which a country or nation formed by a union or confederation of independent states is governed by a central authority or organization.
federal law	A binding rule or body of rules established by a government that has been constituted as a union of independent political units or states.
fee	A charge fixed by law for services of public officers or for use of a privilege under control of government.
fen	Waterlogged, spongy ground containing alkaline decaying vegetation, characterized by reeds, that may develop into peat. It sometimes occurs in the sinkholes of karst region.
fermentation	Any enzymatic transformation of organic substrates, especially carbohydrates, generally accompanied by the evolution of gas.
fern	Any of a large number of vascular plants composing the division Polypodiophyta, without flowers and fruits.
fibre	The portion of plant products that moves through the human digestive system without being digested.
field	A limited area of land with grass or crops growing on it, which is usually surrounded by fences or closely planted bushes when it is part of a farm.
field damage	A decline in the productivity of an area of land or in its ability to support natural ecosystems or types of agriculture.
field experiment	Experiment carried out on a substance or on an organism in the open air as opposed to in a laboratory.
field study	Scientific study made in the open air to collect information that can not be obtained in a laboratory.
filling material	Any substance used to fill the holes and irregularities in planed or sanded surfaces so as to decrease the porosity of the surface for finish coatings.
filling station	A place where petrol and other supplies for motorists are sold.
film	A sequence of animated images.
filter	A porous material for separating suspended particulate matter from liquids by passing the liquid through the pores in the filter and sieving out the solids.
filter cake	Accumulated solids, wet or dry, generated by any filtration process, including accumulation on fabric filters in air filtering processes, or accumulation of wet solids in liquid filtering processes.
filtration	Separation of suspended particles from a liquid, gas, etc., by the action of a filter.
financial compensation	The financial reparations that a claimant seeks or a court awards for injuries sustained or property harmed by another.
financial market	A place or institution in which buyers and sellers meet and trade monetary assets, including stocks, bonds, securities and money.
financing	Procurement of monetary resources or credit to operate a business or acquire assets.
fine	A pecuniary punishment or penalty imposed by lawful tribunal upon person convicted of crime or misdemeanor.
fine dust	Air-borne solid particles, originating from human activity and natural sources, such as wind-blown soil and fires, that eventually settle through the force of gravity, and can cause injury to human and other animal respiratory systems through excessive inhalation.
fire	The state of combustion in which inflammable material burns, producing heat, flames and often smoke.
fire precaution	Measure, action or installation implemented in advance to avert the possibility of any unexpected and potentially harmful combustion of materials.
fire protection	All necessary precautions to see that fire is not initiated, by ensuring that all necessary fire fighting apparatus is in good order and available for use if fire should break out, and by ensuring that personnel are properly trained and drilled in fighting fire.
fire safety requirement	Rules to be followed and safety systems to be adopted for preventing or fighting fire.
fire service	Organisation with trained personnel for dealing with fires and other incidents and for co-operating in their prevention.
firing	The process of applying fire or heat, as in the hardening or glazing of ceramics.
firm	A commercial association of two or more persons, especially when incorporated.
fish disease	An illness affecting fish, including bacterial, viral and fungal infections, parasites and maltnutrition.
fishery	The industry of catching, processing and selling fish.
fish	A cold-blooded vertebrate animal that lives in water that moves with the help of fins and breathes using gills (Pisces).
fish farming	Raising of fish in inland waters, estuaries or coastal waters.
fishing	The art or sport of catching fish with a rod and line and a baited hook or other lure, such as a fly.
fishing industry	Industry for the handling, processing, and packing of fish or shellfish for market or shipment.
fishing vessel	Ship or boat that is used to catch fish on seas, lakes or rivers.
fish stock	The population of fish in a certain area.
flag of convenience	Practice of registering a merchant vessel with a country that has favourable (i.e. less restrictive ) safety requirements, registration fees, etc.
flaring	1) Flares use open flames during normal and/or emergency operations to combust hazardous gaseous. The system has no special features to control temperature or time of combustion; however, supplemental fuel may be required to sustain the combustion. Historically, flares have been used to dispose of waste gases in the oil and gas industry and at wastewater treatment plants having anaerobic digestors. Regulation for thermal destruction of hazardous wastes limit the practical use of flaring to combustion of relatively simple hydrocarbons, such as methane from digesters or landfill gas collection systems. 
rapid test	Medical test whose results are available very quickly.
flea	Any of the wingless insects composing the order Siphonaptera; most are ectoparasites of mammals and birds.
flocculant	A reagent added to a dispersion of solids in a liquid to bring together the fine particles to form flocs.
flocculation	A process of contact and adhesion whereby the particles of a dispersed substance form large clusters or the aggregation of particles in a colloid to form small lumps, which then settle out.
flood	An overflowing; an inundation or flood, especially when the water is charged with much suspended material.
flooding	A general and temporary condition of partial or complete inundation of normally dry land areas from the overflow of inland and/or tidal waters, and/or the unusual and rapid accumulation or runoff of surface waters from any source.
flora restoration	The process of returning plant ecosystems and habitats to their original conditions.
flotation	A process used to separate particulate solids by causing one group of particles to float; utilizes differences in surface chemical properties of the particles, some of which are entirely wetted by water, others are not.
flow	The flowing of a fluid.
flower	The reproductive structure of angiosperm plants, consisting of stamens and carpels surrounded by petals and sepals all borne on the receptacle.
flowering plant	The division of seed plants that includes all the flowering plants, characterized by the possession of flowers. The ovules, which become seeds after fertilization, are enclosed in ovaries. The xylem contains true vessels. The angiospermae are divided into two subclasses: Monocotyledoneae and Dycotiledoneae.
flow field	The velocity and the density of a fluid as functions of position and time.
flowing water	Moving waters like rivers and streams.
flue gas	The gaseous combustion product generated by a furnace and often exhausted through a chimney (flue).
fluidised bed	A bed of finely divided solid through which air or a gas is blown in a controlled manner so that it behaves as a liquid.
fluoridation	The addition of the fluorine ion to municipal water supplies in a final concentration of 0.8-1.6 ppm (parts per million) to help prevent dental caries in children.
fluorine	A gaseous chemical element with symbol F and atomic number 9; a member of the halide family, it is the most electronegative element and the most chemically energetic of the nonmetallic elements; highly toxic and corrosive; used in rocket fuels and as a chemical intermediate.
river transport	Transportation of goods or persons by means of ships travelling on rivers.
fly ash	Finely divided particles of ash that are entrained in flue gases resulting from the combustion of fuel or other material.
foaming agent	A substance which makes it possible to form a homogenous dispersion of a gaseous phase in a liquid or solid medium.
fodder	Bulk feed for livestock, especially hay, straw, etc.
fog	Water droplets or, rarely, ice crystals suspended in the air in sufficient concentration to reduce visibility appreciably.
mist	Fine water droplets suspended in the air, which reduce visibility. Usually mists form at night, when the temperature falls because the sky is clear. If visibility falls below 1,000 metres, the mist becomes a fog.
foliage	The leaves of a plant together.
food	A substance that can be ingested and utilized by the organism as a source of nutrition and energy.
food additive	Substances that have no nutritive value in themselves (or are not being used as nutrients) which are added to food during processing to improve colour, texture, flavour, or keeping qualities.
food chain	A sequence of organisms on successive trophic levels within a community, through which energy is transferred by feeding; energy enters the food chain during fixation by primary producers (mainly green plants) and passes to the herbivores (primary consumers) and then to the carnivores (secondary and tertiary consumers).
food hygiene	That part of the science of hygiene that deals with the principles and methods of sanitation applied to the quality of foodstuffs, to their processing, preparation, conservation and consumption by man.
food industry	The commercial production and packaging of foods that are fabricated by processing, by combining various ingredients, or both.
food irradiation	The process of applying high energy to food products, to sterilize them and extend their shelf-life by killing microorganisms, insects and other pests residing on it.
food preservation	Processing designed to protect food from spoilage caused by microbes, enzymes, and autooxidation.
food quality	The quality characteristics of food that is acceptable to consumers.
food science	The applied science which deals with the chemical, biochemical, physical, physiochemical, and biological properties of foods.
foodstuff	A substance that can be used or prepared for use as food.
food technology	The application of science and engineering to the refining, manufacturing, and handling of foods; many food technologists are food scientists rather than engineers.
footpath	A narrow path for walkers only.
forage contamination	Introduction of hazardous or poisonous substances such as arsenic or lead into, or onto, fodder for animals.
forecast	An estimate of a future condition.
foreign policy	The diplomatic policy of a nation in its interactions with other nations.
foreign trade	Trade between countries and firms belonging to different countries.
forest	A vegetation community dominated by trees and other woody shrubs, growing close enough together that the tree tops touch or overlap, creating various degrees of shade on the forest floor.
forest damage	Reduction of tree population in forests caused by acidic precipitation, forest fires, air pollution, deforestation, pests and diseases of trees, wildlife, etc.
forest ecosystem	Any forest environment, in which plants and animals interact with the chemical and physical features of the environment, in which they live.
forest fire	A conflagration in or destroying large wooded areas having a thick growth of trees and plants.
forest pest	Organism that damages trees.
forest policy	A course of action adopted and pursued by government or some other organization, which seeks to preserve or protect an extensive area of woodland, often to produce products and benefits such as timber, wildlife habitat, clean water, biodiversity and recreation.
forest reserve	Forest area set aside for the purpose of protecting certain fauna and flora, or both.
forestry	The management of forest lands for wood, forages, water, wildlife, and recreation.
forestry practice	The farming of trees to ensure a continuing supply of timber and other forest products. Foresters care for existing trees, protecting them from fire, pests and diseases, and felling where trees are overcrowded or dying and when ready for cropping. They also plant new areas (afforestation) and replant felled areas (reafforestation).
fossil	Any remains, trace, or imprint of a plant or animal that has been preserved in the Earth's crust since some past geologic or prehistoric time.
fossil fuel	The energy-containing materials which were converted over many thousands of years from their original form of trees, plants and other organisms after being buried in the ground.
four stroke engine	An internal combustion engine whose cycle is completed in four piston strokes; includes a suction stroke, compression stroke, expansion stroke, and exhaust stroke.
framework legislation	A body of rules prescribed by a government, often composed in a series of inter-related parts, to establish or lay the foundation for a new project, agency or organizational structure.
